timestamp,origin,destination,route,current travel time,typical travel time,miles,obstructions
2015-01-05 08:35:49.773277,Hayward,Work,"I-880 S, US-101 N",0:45:00,0:43:00,27.6,0
2015-01-05 08:35:49.773277,Hayward,Work+Five Minutes,"CA-92 W, US-101 S",0:57:00,0:51:00,27.3,0
2015-01-05 08:35:49.773277,Hayward,Work+Five Minutes,"I-880 S, CA-84 W, WILLOW RD, US-101 S",0:57:00,0:51:00,27.3,0
2015-01-05 13:55:16.787838,Work+Five Minutes,Work,US-101 S,0:06:00,0:05:00,5.5,0
2015-01-05 13:55:16.787838,Hayward,Work+Five Minutes,"CA-92 W, US-101 S",0:26:00,0:27:00,27.3,0
2015-01-05 13:55:16.787838,Hayward,Work,"I-880 S, US-101 N",0:26:00,0:26:00,27.2,0
2015-01-05 13:55:16.787838,Work,Hayward,"US-101 S, I-880 N",0:26:00,0:28:00,27.3,0
2015-01-05 13:55:16.787838,Work,Hayward,"US-101 N, WILLOW RD, CA-84 E, I-880 N",0:26:00,0:28:00,27.3,0
2015-01-05 13:55:16.787838,Hayward,Work+Five Minutes,"I-880 S, CA-84 W, WILLOW RD, US-101 S",0:26:00,0:27:00,27.3,0
2015-01-05 15:56:04.426725,Work+Five Minutes,Work,US-101 S,0:06:00,0:09:00,5.5,0
2015-01-05 15:56:04.426725,Hayward,Work+Five Minutes,"CA-92 W, US-101 S",0:27:00,0:27:00,27.3,0
2015-01-05 15:56:04.426725,Hayward,Work,"I-880 S, US-101 N",0:27:00,0:29:00,27.2,0
2015-01-05 15:56:04.426725,Work,Hayward,"US-101 S, I-880 N",0:35:00,0:41:00,27.3,0
2015-01-05 15:56:04.426725,Work,Hayward,"US-101 N, WILLOW RD, CA-84 E, I-880 N",0:35:00,0:41:00,27.3,0
2015-01-05 15:56:04.426725,Hayward,Work+Five Minutes,"I-880 S, CA-84 W, WILLOW RD, US-101 S",0:27:00,0:27:00,27.3,0
2015-01-06 07:58:03.835674,Work+Five Minutes,Work,US-101 S,0:06:00,0:05:00,5.5,0
2015-01-06 07:58:03.835674,Hayward,Work+Five Minutes,"CA-92 W, US-101 S",1:08:00,0:53:00,27.3,2
2015-01-06 07:58:03.835674,Hayward,Work,"I-880 S, US-101 N",0:52:00,0:45:00,27.6,1
2015-01-06 07:58:03.835674,Work,Hayward,"US-101 S, I-880 N",0:25:00,0:30:00,27.3,0
2015-01-06 07:58:03.835674,Work,Hayward,"US-101 N, WILLOW RD, CA-84 E, I-880 N",0:25:00,0:30:00,27.3,0
2015-01-06 07:58:03.835674,Hayward,Work+Five Minutes,"I-880 S, CA-84 W, WILLOW RD, US-101 S",1:08:00,0:53:00,27.3,1
2015-01-06 16:27:39.593189,Work+Five Minutes,Work,US-101 S,0:08:00,0:08:00,5.5,0
2015-01-06 16:27:39.593189,Hayward,Work+Five Minutes,"CA-92 W, US-101 S",0:27:00,0:27:00,27.3,0
2015-01-06 16:27:39.593189,Hayward,Work,"I-880 S, US-101 N",0:32:00,0:28:00,27.2,0
2015-01-06 16:27:39.593189,Work,Hayward,"US-101 S, I-880 N",0:42:00,0:35:00,27.5,1
2015-01-06 16:27:39.593189,Work,Hayward,"US-101 N, WILLOW RD, CA-84 E, I-880 N",0:42:00,0:35:00,27.5,1
2015-01-06 16:27:39.593189,Hayward,Work+Five Minutes,"I-880 S, CA-84 W, WILLOW RD, US-101 S",0:27:00,0:27:00,27.3,0
2015-01-06 21:47:40.078178,Work+Five Minutes,Hayward,"US-101 S, I-880 N",0:22:00,0:35:00,22,0
2015-01-06 21:47:40.078178,Work+Five Minutes,Hayward,"US-101 N, WILLOW RD, CA-84 E, I-880 N",0:22:00,0:35:00,22,0
2015-01-06 21:47:40.078178,Work+Five Minutes,Hayward,"US-101 S, US-101 S-CA-237 E Ramp, CA-237 E, CA-237 E-I-880 N Ramp, I-880 N",0:22:00,0:35:00,22,0
2015-01-06 21:47:40.078178,Work+Five Minutes,Hayward,"US-101 N, CA-92 E",0:22:00,0:35:00,22,0
2015-01-07 07:03:54.307818,Hayward,Work,"I-880 S, US-101 N",0:37:00,0:36:00,27.6,0
2015-01-07 07:03:54.307818,Hayward,Work+Five Minutes,"CA-92 W, US-101 S",0:43:00,0:40:00,27.3,0
2015-01-07 07:03:54.307818,Hayward,Work+Five Minutes,"I-880 S, CA-84 W, WILLOW RD, US-101 S",0:43:00,0:40:00,27.3,0
2015-01-07 15:00:01.490094,Work+Five Minutes,Hayward,"US-101 S, I-880 N",0:29:00,0:27:00,22,0
2015-01-07 15:00:01.490094,Work+Five Minutes,Hayward,"US-101 N, WILLOW RD, CA-84 E, I-880 N",0:29:00,0:27:00,22,0
2015-01-07 15:00:01.490094,Work+Five Minutes,Hayward,"US-101 S, US-101 S-CA-237 E Ramp, CA-237 E, CA-237 E-I-880 N Ramp, I-880 N",0:29:00,0:27:00,22,0
2015-01-07 15:00:01.490094,Work+Five Minutes,Hayward,"US-101 N, CA-92 E",0:29:00,0:27:00,22,0
2015-01-07 16:00:01.857975,Work+Five Minutes,Hayward,"US-101 S, I-880 N",0:39:00,0:33:00,22,0
2015-01-07 16:00:01.857975,Work+Five Minutes,Hayward,"US-101 N, WILLOW RD, CA-84 E, I-880 N",0:39:00,0:33:00,22,0
2015-01-07 16:00:01.857975,Work+Five Minutes,Hayward,"US-101 S, US-101 S-CA-237 E Ramp, CA-237 E, CA-237 E-I-880 N Ramp, I-880 N",0:39:00,0:33:00,22,0
2015-01-07 16:00:01.857975,Work+Five Minutes,Hayward,"US-101 N, CA-92 E",0:39:00,0:33:00,22,0
